I'm 19.	Tengo diecinueve.
I am surprised to see you here in this hotel.	Me sorprende verte en este hotel.
I am tired of the day-to-day routine of life.	Estoy cansado de la rutina de cada día.
I am tired of the day-to-day routine of life.	Estoy cansado de la rutina diaria.
I'm ashamed to ask you such a silly question.	Me avergüenzo de hacerte una pregunta tan tonta.
I'm calling because I've lost my credit card.	Llamo porque he perdido mi carta de crédito.
I'm getting pretty tired of your complaining.	Me estoy hartando de tus quejas.
I'm going to stay home today and read a book.	Hoy me quedaré en casa y leeré un libro.
I'm going to stay there for a couple of days.	Me voy a quedar allí un par de días.
I'm going to stay there for a couple of days.	Me quedaré allí un par de días.
I'm going to the toy store with the children.	Voy a acercarme a la tienda de juguetes con los niños.
I'm going to the toy store with the children.	Voy a la tienda de juguetes con los niños.
I'm going to work during the spring vacation.	Voy a trabajar en las vacaciones de primavera.
I'm guessing you didn't clean your house yet.	Me imagino que tú todavía no has limpiado la casa.
I'm likely going to find some way to do that.	Es muy probable que encuentre algún modo de hacer eso.
I'm looking for someone to fall in love with.	Estoy buscando a alguien para enamorarme.
I'm looking forward to hearing from you soon.	Espero con ganas a oír de ti pronto.
I'm looking forward to seeing you again soon.	Estoy deseando verte de nuevo pronto.
I'm looking forward to seeing you this April.	Espero con ganas a verte este abril.
I'm not angry at you, just very disappointed.	No estoy enojada contigo, tan solo estoy muy decepcionada.
I'm not in a position to give you any advice.	No estoy en grado de darte consejos.
I'm not interested in a serious relationship.	No estoy interesada en una relación seria.
I'm not interested in a serious relationship.	No estoy interesado en una relación seria.
I'm not old enough to get a driver's license.	No tengo edad suficiente para sacarme el carnet de conducir.
I'm not old enough to get a driver's license.	No tengo la edad suficiente para conseguir una licencia de conducir.
I'm not sure that I want to give this to Tom.	No estoy seguro de querer darle esto a Tom.
I'm not sure you're going to want to do that.	No estoy seguro de que vayas a querer hacer eso.
I'm older than any other student in my class.	Soy más viejo que cualquier otro estudiante de mi clase.
I'm pretty sure Tom doesn't know how to swim.	Estoy bastante seguro de que Tom no sabe nadar.
I'm sick and tired of the way you yell at me.	Estoy enfermo y cansado de la manera que me gritas.
I'm sorry to have caused you so much trouble.	Lamento haberle ocasionado tantos problemas.
I'm sorry to have caused you so much trouble.	Lamento haberte ocasionado tantos problemas.
I'm sorry, but I didn't know it was a secret.	Lo siento, no sabía que fuera un secreto.
I'm sorry, but I don't want to talk about it.	Lo siento, no quiero hablar de eso.
I'm sorry. I know I shouldn't have done that.	Lo siento. Sé que no debería haber hecho eso.
I'm sure Tom will be able to handle this job.	Estoy seguro de que Tom será capaz de manejar este trabajo.
I'm sure Tom wouldn't want you to catch cold.	Estoy seguro de que Tom no querría que te resfriases.
I'm sure Tom wouldn't want you to catch cold.	Estoy segura de que Tom no querría que te acatarrases.
I'm sure you understand why we can't do that.	Estoy seguro de que comprendes por qué no podemos hacer eso.
I'm very impressed with your quality control.	Estoy muy impresionado con su control de calidad.
She is 35 years old and in the prime of life.	Tiene 35 años y está en lo mejor de la vida.
She is always finding fault with her husband.	Ella siempre está encontrando defectos en su esposo.
She is good at making up interesting stories.	Es buena inventándose historias interesantes.
She is more of an acquaintance than a friend.	Ella más que una amiga es una conocida.
She's not a regular employee of this company.	Ella no es una empleada habitual de esta compañía.
They are going to meet at the hotel tomorrow.	Ellos se van a encontrar mañana en el hotel.
They are going to play baseball after school.	Ellos van a jugar béisbol después de clases.
They are looking at themselves in the mirror.	Se están mirando en el espejo.
They are the only students who study Chinese.	Son los únicos estudiantes que estudian chino.
We are grateful for the music he left behind.	Estamos agradecidos por el legado musical que él dejó.
We are inclined to think that most dogs bite.	Tendemos a pensar que la mayoría de los perros muerden.
You are not in a position to defend yourself.	Vos no estás en condiciones de defenderte.
You are really full of curiosity, aren't you?	Tú realmente estás lleno de curiosidad, ¿no es así?
You are really full of curiosity, aren't you?	Tienes una curiosidad insaciable, ¿no crees?
You are the most important person in my life.	Vos sos la persona más importante en mi vida.
You are the most important person in my life.	Eres la persona más importante en mi vida.
You're looking at me in a way that scares me.	Me estás mirando de una forma que me asusta.
You're mistaken. He plays bass, not trombone.	Te equivocas: él toca el contrabajo, no el trombón.
You're not as beautiful as you think you are.	No eres tan guapa como te crees.
You're not living in Boston anymore, are you?	Ya no vives en Boston, ¿verdad?
You're the only person I know here in Boston.	Sos la única persona que conozco aquí en Boston.
You're the only person I know here in Boston.	Eres la única persona que conozco aquí en Boston.
You're the only person that can persuade him.	Eres la única persona que puede convencerlo.
You're the only person that can persuade him.	Eres la única persona capaz de convencerlo.
He is always a step or two ahead of the times.	Él siempre va uno o dos pasos adelante del tiempo.
He is always complaining about his low salary.	Él siempre está quejándose de su bajo salario.
He is economically independent of his parents.	Él es económicamente independiente de sus padres.
He is late for meetings nine times out of ten.	Él llega tarde a cada nueve de diez reuniones.
He is not as intelligent as his older brother.	No es tan inteligente como su hermano mayor.
He is not as intelligent as his older brother.	Él no es tan inteligente como su hermano mayor.
He is not fond of sports, and I am not either.	A él no le gusta el deporte. A mí tampoco.
He is not fond of sports, and I am not either.	A él no le gusta el deporte. Y a mí tampoco.
He is one of the most famous singers in Japan.	Él es uno de los cantantes más famosos de Japón.
He's a British citizen, but he lives in India.	Él es un ciudadano británico pero vive en la India.
He's the type who doesn't worry about details.	Él es del tipo que no se preocupa de los detalles.
I am always tense before I get on an airplane.	Siempre estoy tenso antes de subir a un avión.
I am looking forward to hearing from you soon.	Estoy deseando tener noticias tuyas.
I am looking forward to seeing you again soon.	Espero verte pronto de nuevo.
I am not accustomed to walking long distances.	No estoy acostumbrado a caminar largas distancias.
I am not the man I was when you knew me first.	No soy el hombre que era cuando me conociste por primera vez.
I am standing in the middle of the schoolyard.	Estoy parado en el medio del patio.
I am very happy to hear about your engagement.	Estoy muy feliz al oír acerca de tu compromiso.
I'm afraid I spilled coffee on the tablecloth.	Me temo que he derramado café en el mantel.
I'm asking you to do this because I trust you.	Te estoy pidiendo que hagas esto, porque confío en vos.
I'm asking you to do this because I trust you.	Te estoy pidiendo que hagas esto porque confío en ti.
I'm beat. I've been working from dawn to dusk.	Estoy molido. He trabajado desde el amanecer hasta el anochecer.
I'm calling to remind you of our dinner plans.	Estoy llamando para recordarte nuestros planes para la cena.
I'm considering studying in America next year.	Estoy pensando si ir a estudiar el año próximo a EE.UU.
I'm glad you warned me before it was too late.	Me alegro de que me advirtieras antes de que fuera demasiado tarde.
I'm going to stay here for a couple of months.	Estaré aquí por un par de meses.
I'm going to stay in the pool a little longer.	Me quedaré en la piscina un rato más.
I'm going to talk to Tom when he returns home.	Voy a hablar con Tom cuando vuelva a casa.
I'm going to the supermarket to buy some eggs.	Voy al supermercado a comprar huevos.
I'm looking forward to seeing you before long.	Espero con ganas a verte pronto.
I'm looking forward to seeing you next Sunday.	Espero con ganas a verte el próximo domingo.
I'm never going to allow you to do that again.	Nunca te permitiré volver a hacer eso.
I'm not going to stay if you don't want me to.	No me voy a quedar si no quieres.
I'm not interested in anything Tom has to say.	No me interesa nada de lo que Tom tenga para decir.
I'm not one hundred percent convinced of that.	No estoy totalmente convencido de eso.
I'm not the same fool I was fifteen years ago.	Yo no soy el mismo tonto que era hace quince años.
I'm not very good at making pizza, but Tom is.	No se me da muy bien hacer pizzas, pero a Tom sí.
I'm secretly in love with someone else's wife.	Estoy enamorado secretamente de la esposa de alguien más.
I'm sending you a birthday present by airmail.	Te voy a enviar por avión un regalo de cumpleaños.
I'm sorry to disturb you while you're talking.	Lamento molestarte mientras estás conversando.
I'm sorry, I don't let in people I don't know.	Lo siento, no dejo entrar a gente que no conozco.
I'm sorry, but my mother is out at the moment.	Lo siento, mi madre no está en casa en este momento.
I'm starting to think you enjoy being with me.	Estoy empezando a pensar que te gusta estar conmigo.
I'm still waiting for Tom to make up his mind.	Todavía estoy esperando a que se decida Tom.
I'm sure he is holding back something from us.	Estoy seguro de que nos está ocultando algo.
I'm thinking of buying a house on Park Street.	Estoy pensando en comprarme una casa en Park Street.
I'm thinking of learning Korean next semester.	Pienso aprender coreano el próximo semestre.
She is always thinking of moneymaking schemes.	Ella siempre está pensando en planes lucrativos.
She is busy at present and can't speak to you.	En estos momentos ella está muy ocupada, no puede hablar contigo.
She is busy at present and can't speak to you.	En este momento ella está ocupada y no puede hablar contigo.
She is proud that her son has become a doctor.	Ella está orgullosa de que su hijo se haya convertido en doctor.
She's only interested in fish and cockroaches.	Ella sólo está interesada en los peces y las cucarachas.
She's sitting in the kitchen and drinking tea.	Ella está sentada en la cocina tomando té.
They're at the restaurant looking at the menu.	Ellos están en el restaurante mirando el menú.
They're celebrating their wedding anniversary.	Están celebrando su aniversario de bodas.
We are all stupid, just on different subjects.	Todos somos estúpidos, pero en diferentes campos.
We're both way too busy to help you right now.	En este momento los dos estamos demasiado ocupados para ayudarte.
We're investigating the murder of Tom Jackson.	Estamos investigando el asesinato de Tom Jackson.
You are always complaining about your husband.	Siempre te estás quejando de tu marido.
You are not in a position to ask for anything.	No estás en condiciones de pedir nada.
You're just not the person I thought you were.	Simplemente no eres la persona que yo creía.
You're just running away from life's problems.	Tú simplemente huyes de los problemas de la vida.
You're the first woman I've ever really loved.	Eres la primera mujer a la que he amado de verdad.
You're the most beautiful girl I've ever seen.	Tú eres la chica más linda que jamás haya visto.
You're the only person I know that owns a gun.	Eres la única persona que conozco que posee un arma.
You're the only person I know who can help me.	Eres la única persona que conozco que puede ayudarme.
He is far better off than he was ten years ago.	Él está en una situación mucho mejor que en la que estaba hace diez años.
He is strange, and I don't like strange people.	Él es raro, y no me gusta la gente rara.
He is very nice. He never speaks ill of others.	Él es muy copado. Nunca habla mal de nadie.
He is wealthy in appearance but not in reality.	Él es rico en apariencia pero no en la realidad.
He is working hard to catch up with the others.	Él está trabajando mucho para ponerse al nivel de los demás.
He's my best friend. It's like we are brothers.	Él es mi mejor amigo. Es como si fuéramos hermanos.
I am disappointed that my friends are not here.	Estoy decepcionado de que mis amigos no estén aquí.
I am disappointed that my friends are not here.	Me decepciona que mis amigos no estén aquí.
I am getting fat because I eat a lot of sweets.	Estoy engordando porque como muchos dulces.
I am not used to drinking coffee without sugar.	No estoy acostumbrado a tomar el café sin azúcar.
I'm absolutely certain you're wrong about that.	Estoy absolutamente seguro de que te equivocas en eso.
I'm afraid I'll be stuck in this place forever.	Temo que estaré atrapado aquí para siempre.
I'm at the hospital. I got struck by lightning.	Estoy en el hospital. Me ha caído un rayo.
I'm convinced that this job is perfect for you.	Estoy convencido de que este trabajo es perfecto para ti.
I'm expecting my baby in the middle of January.	Voy a tener a mi bebé a mediados de enero.
I'm going to give you a bike for your birthday.	Para tu cumpleaños te regalaré una bicicleta.
I'm going to introduce you to my mother-in-law.	Le voy a presentar a mi suegra.
I'm going to introduce you to my mother-in-law.	Voy a presentarte a mi suegra.
I'm going to make him an offer he can't refuse.	Voy a hacerle una oferta que no podrá rechazar.
I'm going to tell you about a strange incident.	Les voy a contar un caso curioso.
I'm looking for a bank. Is there one near here?	Estoy buscando un banco. ¿Hay alguno por aquí cerca?
I'm not a teacher and don't want to become one.	No soy profesor ni quiero convertirme en uno.
I'm not even sure whether Tom will come or not.	Ni siquiera estoy seguro de si Tom vendrá o no.
I'm not going to leave if you don't want me to.	No me voy a ir si no quieres.
I'm not sure if it's a compliment or an insult.	No estoy segura si es un halago o un insulto.
I'm not the only one here who can speak French.	No soy el único aquí que puede hablar en francés.
I'm sorry, I didn't mean to hurt your feelings.	Lo lamento, no quise herir tus sentimientos.
I'm sorry, but I don't understand English well.	Perdón, pero no entiendo muy bien el inglés.
I'm sorry. I'll do anything to make this right.	Lo siento, haré lo que sea para arreglarlo.
I'm still trying to find out what we should do.	Aún estoy intentando averiguar lo que deberíamos hacer.
I'm still trying to find out what we should do.	Todavía estoy intentando aclarar qué deberíamos hacer.
I'm sure that Tom will be pleased to hear that.	Estoy seguro de que Tom se alegrará de oír eso.
I'm surprised you agreed to have lunch with me.	Me sorprende que hayas aceptado almorzar conmigo.
I'm thinking of visiting you one of these days.	Estoy pensando en visitarte uno de estos días.
I'm very much obliged to you for your kindness.	Me siento muy agradecido contigo por tu amabilidad.
She is attractive when she is dressed in white.	Ella es atractiva cuando se viste de blanco.
She is not the kind of person you think she is.	Ella no es la clase de persona que crees que es.
She is one of the best ballerinas in the world.	Ella es una de las mejores bailarinas del mundo.
She is trying to prove the existence of ghosts.	Ella está tratando de demostrar la existencia de los fantasmas.
She is trying to save as much money as she can.	Ella está tratando de ahorrar todo lo posible.
She is well known both in Japan and in America.	Ella es famosa tanto en Japón como en Estados Unidos.
She's curious to find out who sent the flowers.	Ella tiene curiosidad por saber quién mandó las flores.
She's curious to find out who sent the flowers.	Ella tiene curiosidad por saber quién le envió las flores.
She's curious to find out who sent the flowers.	Ella quiere saber quién le envió las flores.
She's not a full-time employee of this company.	Ella no es una empleada a tiempo completo de la empresa.
We are not too young to tell what love is like.	No somos demasiado jóvenes para decir cómo es el amor.
We are so busy we'd take any help we could get.	Estamos tan ocupados que aceptaríamos cualquier ayuda que se nos ofreciera.
We are so busy we'd take any help we could get.	Estamos tan ocupados que aceptaríamos toda la ayuda que pudiéramos.
We're getting out of here. The cops are coming.	Salgamos de aquí, los polis vienen.
We're getting out of here. The cops are coming.	Larguémonos de aquí, viene la pasma.
We're getting out of here. The cops are coming.	Vámonos de aquí. Viene la poli.
We're going to eat at a new restaurant tonight.	Esta noche vamos a comer en un restaurante nuevo.
We're trying to have a serious discussion here.	Estamos tratando de tener una discusión seria.
You are responsible for the death of the child.	Tú eres responsable por la muerte del niño.
You are young. I, on the contrary, am very old.	Tú eres joven. Yo, por el contrario, soy muy viejo.
You are young. I, on the contrary, am very old.	Tú eres joven. Yo, por el contrario, soy muy vieja.
You are young. I, on the contrary, am very old.	Tú eres joven. Yo, en cambio, soy muy mayor.
You're already big enough to do it by yourself.	Ya estás lo suficientemente grande para hacerlo por ti solo.
You're already big enough to do it by yourself.	Eres lo suficientemente grande para hacerlo por ti mismo.
You're certainly looking fit as a fiddle today.	Sin duda, hoy te ves fino como un violín.
You're going to break it if you're not careful.	Lo vas a romper si no tienes cuidado.
You're going to get hurt if you're not careful.	Te vas a lastimar si no tienes cuidado.
You're not the only one who uses this computer.	No sos el único que usa esta computadora.
You're probably tired after such a long flight.	Probablemente estés cansado después de un vuelo tan largo.
You're the best thing that ever happened to me.	Eres lo mejor que me haya pasado.
You're the one who knows how to do this, right?	Tú eres el que sabe cómo hacer esto, ¿verdad?
You're the one who knows how to do this, right?	Tú eres el que sabe hacer esto, ¿verdad?
He is a director, and should be treated as such.	Él es un director y debería ser tratado como tal.
He is a scientist who is respected by everybody.	Él es un científico respetado por todos.
He is capable of running a mile in four minutes.	Él es capaz de correr una milla en cuatro minutos.
He is too short to get at the book on the shelf.	Es demasiado bajo para alcanzar el libro del estante.
He's a man of his word, so you can count on him.	Él es un hombre de palabra, así que puedes contar con él.
He's a regular at the bars and pubs around here.	Él es un cliente regular en los bares y cantinas de por aquí.
He's been a patron of this store for many years.	Él ha sido un cliente de esta tienda durante muchos años.
He's coming back from America a week from today.	Él volverá de EEUU la primera semana a partir de hoy.
I am afraid that they don't get along very well.	Me temo que ellos no se llevan muy bien.
I am sending you a birthday present by air mail.	Te estoy enviando un regalo de cumpleaños por correo aéreo.
I am studying to be a translator or interpreter.	Me estoy preparando para ser traductor o intérprete.
I am studying to be a translator or interpreter.	Estoy estudiando para ser traductor o intérprete.
I'm American, but I can speak Japanese a little.	Soy estadounidense, pero hablo un poco de japonés.
I'm amazed by the rate at which industries grow.	Estoy sorprendido de la tasa a la que crecen las industrias.
I'm envious of you because you have a good boss.	Me das envidia porque tienes un buen jefe.
I'm going to Japan with my girlfriend in August.	Iré a Japón con mi novia en agosto.
I'm going to let you do whatever you want to do.	Voy a dejar que hagas lo que quieras.
I'm going to take off this stamp with hot water.	Voy a despegar este sello con agua caliente.
I'm grateful for what you've done for my family.	Estoy agradecido por lo que has hecho por mi familia.
I'm likely going to be the first one to do that.	Es muy probable que sea el primero en hacer eso.
I'm likely going to be the first one to do that.	Es más que probable que yo sea el primero en hacerlo.
I'm never going to be able to do that by myself.	Nunca seré capaz de hacer eso solo.
I'm never going to be able to do that by myself.	Nunca seré capaz de hacerlo por mí mismo.
I'm not going because I don't have enough money.	No voy porque no tengo bastante dinero.
I'm not satisfied with the restaurant's service.	No estoy satisfecho con el servicio del restaurante.
I'm on my way to visit a friend in the hospital.	Voy a visitar a un amigo mío que está en el hospital.
I'm sorry to interrupt you while you're talking.	Siento interrumpirte cuando hablas.
I'm tired of studying. Let's go out for a drink.	Estoy cansado de estudiar. Salgamos por un trago.
They are going to emigrate to the United States.	Ellos van a emigrar a los Estados Unidos.
They're taking the freight out of the train car.	Están sacando la carga del vagón.
We're about to explore some uncharted territory.	Estamos a punto de explorar territorio virgen.
You are not a good person. You know that, right?	No eres una buena persona. Lo sabes, ¿no?
You are the last person that I expected to meet.	Eres la última persona que esperaba encontrarme.
You are to hand in your report by 5:00 tomorrow.	Deberás entregar tu reporte mañana a las 5:00
You're going to be in trouble and it's my fault.	Vas a tener problemas y es culpa mía.
You're going to be in trouble and it's my fault.	Vais a tener problemas y es culpa mía.
You're going to be in trouble and it's my fault.	Por mi culpa vais a tener problemas.
You're going to be in trouble and it's my fault.	Por mi culpa vas a tener problemas.
You're not old enough to get a driver's license.	No eres lo suficientemente mayor para conseguir una licencia de conducir.
You're the most incredible person I've ever met.	Eres la persona más increíble que he conocido.
You're the only person who shows me any respect.	Sos la única persona que me muestra algo de respeto.
He is considered the prime suspect by the police.	La policía lo considera el principal sospechoso.
He is our teacher and a person we should respect.	Él es nuestro profesor y es una persona que debiéramos respetar.
He is proud of never having been late for school.	Él está orgulloso de no haber llegado nunca tarde a clase.
He is serving a three-year sentence for burglary.	Está cumpliendo una sentencia de tres años por robo.
He is the greatest architect that has ever lived.	Él es el mayor arquitecto que ha vivido jamás.
He is working as a security guard at a warehouse.	Él trabaja como guardia de seguridad en un almacén.
I am an eighteen-year-old student of mathematics.	Soy un estudiante de matemáticas de dieciocho años.
I am not going out because I have to mop my room.	No voy a salir porque tengo que trapear mi cuarto.
I am not in the least concerned about the result.	No me preocupa lo más mínimo el resultado.
I am unfamiliar with the customs of this country.	No estoy familiarizado con las costumbres de este país.
I'm afraid we won't be able to help you tomorrow.	Me temo que no podremos ayudarte mañana.
I'm glad I'm not the only one who has to do that.	Me alegro de no ser el único que tiene que hacerlo.
I'm going to do an internship at a local company.	Voy a hacer una pasantía en una empresa local.
I'm having some problems compiling this software.	Tengo problemas para compilar este programa.
I'm hungry, so I'm going to get something to eat.	Tengo hambre, así que voy a buscar algo para comer.
I'm leaving on a trip at the beginning of winter.	A la entrada del invierno saldré de viaje.
I'm looking for someone who can speak Portuguese.	Busco a alguien que sepa portugués.
I'm looking for someone who can speak Portuguese.	Busco a alguien que hable portugués.
I'm looking forward to going to the zoo with you.	Estoy deseando de ir al zoo contigo.
I'm looking forward to going to the zoo with you.	Tengo muchas ganas de ir al zoológico con vosotros.
I'm not a particularly suspicious-looking person.	No soy una persona que tenga un aspecto particularmente sospechoso.
I'm not sure what my children want for Christmas.	No estoy seguro de qué quieren mis niños para Navidad.
I'm not willing to cook dinner for twenty people.	No estoy dispuesto a cocinar cena para veinte personas.
I'm pretty sure Tom has already made up his mind.	Estoy bastante seguro de que Tom ya ha tomado una decisión.
I'm so mad I want to scream and break everything!	¡Estoy tan enfadado que quiero gritar y romper todo!
I'm sorry, Tom. I do not approve of your methods.	Lo siento, Tom. Yo no apruebo tus métodos.
I'm sorry, but I don't feel like going out today.	Lo siento, pero no me siento con ganas de salir hoy.
I'm starving! Hurry and give me something to eat.	¡Me muero de hambre! Daos prisa y dadme algo de comer.
I'm studying French because I need it for my job.	Estoy estudiando francés porque lo necesito para mi trabajo.
She is not accustomed to driving for a long time.	No está acostumbrada a conducir durante mucho tiempo.
They are collecting contributions for the church.	Están recogiendo aportaciones para la iglesia.
They are collecting contributions for the church.	Ellos están recolectando aportes para la iglesia.
They are used to the humid climate of the summer.	Ellos están acostumbrados al clima húmedo del verano.
We are still clinging to the dreams of our youth.	Nosotros aún nos aferramos a los sueños de nuestra juventud.
You are free to do as you please with your money.	Sois libres de hacer lo que queráis con vuestro dinero.
You are mad to go out in the snow without a coat.	Tienes que estar loco para ir a la nieve sin un abrigo.
You are young. I, on the other hand, am very old.	Tú eres joven. Yo, por el contrario, soy muy viejo.
You are young. I, on the other hand, am very old.	Tú eres joven. Yo, por el contrario, soy muy vieja.
You are young. I, on the other hand, am very old.	Tú eres joven. Yo, en cambio, soy muy mayor.
You're not the only one who knows how to do that.	No sos el único que sabe como hacerlo.
You're still too young to get a driver's license.	Todavía eres demasiado joven para tener carnet de conducir.
You're the best thing that's ever happened to me.	Eres lo mejor que me ha pasado nunca.
He is hailed as the father of modern anthropology.	Él es considerado el padre de la antropología moderna.
He is in the habit of eating only two meals a day.	Él tiene la costumbre de comer sólo dos veces al día.
He is not a patient but a doctor in this hospital.	Él no es un paciente, sino médico en este hospital.
He is one of the American presidential candidates.	Él es uno de los candidatos presidenciales estadounidenses.
He is such a nice person that everybody likes him.	Él es tan buena persona que a todos les agrada.
He is well acquainted with the history of England.	Él conoce bien la historia de Inglaterra.
He's already been in the toilet for quite a while.	Él ya lleva demasiado tiempo en el baño.
He's been having trouble with back pain for years.	Él ha estado teniendo problemas de dolor de espalda durante años.
I am in the habit of going for a drive on Sundays.	Tengo la costumbre de salir a conducir los domingos.
I am not sure, but I think I want to be a teacher.	No estoy seguro pero creo que quiero ser maestro.
I am not sure, but I think I want to be a teacher.	No estoy segura pero creo que quiero ser maestra.
I am surprised that she refused such a good offer.	Me sorprende que ella rechazara una oferta tan buena.
I am very lucky to have friends who care about me.	Soy muy afortunado de tener amigos que se preocupan por mí.
I'm busy with writing letters and giving speeches.	Estoy ocupado escribiendo cartas y pronunciando discursos.
I'm convinced that my daughter will pass the exam.	Estoy convencido de que mi hija aprobará el examen.
I'm getting along with my mother-in-law very well.	Me llevo muy bien con mi suegra.
I'm getting sick and tired of all your complaints.	Me estoy hartando de todas vuestras quejas.
I'm glad to have this opportunity to speak to you.	Me alegro de tener esta oportunidad para hablar con usted.
I'm looking forward to seeing you and your family.	Espero con ganas a verte a ti y a tu familia.
I'm never going to be given the chance to do that.	Nunca se me presentará la oportunidad de hacer eso.
I'm never going to be given the chance to do that.	Nunca tendré la oportunidad de hacerlo.
I'm not going to help you if you don't want me to.	No voy a ayudarte si no quieres.
I'm not going to kiss you if you don't want me to.	No te voy a besar si no quieres.
I'm not one hundred percent convinced that's true.	No estoy cien por cien convencido de que eso sea cierto.
I'm not saying that your answers are always wrong.	No digo que tus respuestas siempre sean incorrectas.
She is in the kitchen because she's making dinner.	Ella está en la cocina porque está preparando la cena.
She is very careful, so she seldom makes mistakes.	Ella es muy cuidadosa, así que casi nunca comete errores.
She's trying to whistle, but she doesn't know how.	Está intentando silbar, pero no sabe cómo.
They're still waiting for us to make up our minds.	Todavía están esperando a que tomemos una decisión.
We are never as happy or as unhappy as we imagine.	Nunca somos tan felices o tan infelices como nos imaginamos.
We are sorry we are unable to accept your request.	Nosotros lamentamos no poder aceptar su solicitud.
You are no better at remembering things than I am.	No eres mejor recordando cosas de lo que soy yo.
You are not old enough to go swimming by yourself.	No tienes edad suficiente para ir sola a nadar.
You are the kind of guitarist I like to sing with.	Eres la clase de guitarrista con el que me gusta cantar.
You are very fortunate that you have such friends.	Eres muy afortunado de tener tales amigos.
You are very fortunate that you have such friends.	Eres muy afortunada de tener tales amigos.
You are very fortunate that you have such friends.	Es usted muy afortunada de tener tales amigos.
You are very fortunate that you have such friends.	Es usted muy afortunado de tener tales amigos.
You are very fortunate that you have such friends.	Sois muy afortunadas de tener tales amigos.
You are very fortunate that you have such friends.	Sois muy afortunados de tener tales amigos.
You're not going to get in trouble for helping me.	No te vas a meter en problemas por ayudarme.
You're under arrest for the murder of Tom Jackson.	Estás bajo arresto por el asesinato de Tom Jackson.
You're under arrest for the murder of Tom Jackson.	Estás detenido por el asesinato de Tom Jackson.
You're under arrest for the murder of Tom Jackson.	Quedas arrestado por el asesinato de Tom Jackson.
You're working too hard. Take it easy for a while.	Estás trabajando demasiado. Relájate un tiempo.
He is a type of a person who calls a spade a spade.	Él es un tipo de persona que llama a las cosas por su nombre.
He is a type of a person who calls a spade a spade.	Él es un tipo de persona que llama al pan, pan y al vino, vino.
He is acquainted with the modern history of France.	Él está familiarizado con la historia moderna de Francia.
He is capable of keeping a secret when he wants to.	Él es capaz de mantener un secreto cuando se lo propone.
He is going to stay with his uncle for the weekend.	Él va a pasar el fin de semana con su tío.
He is not aggressive enough to succeed in business.	Él no es lo suficientemente agresivo para triunfar en los negocios.
He is proud that his father was a famous scientist.	Él está orgulloso de que su padre fuera un científico famoso.
He is sure to become the President sooner or later.	Seguro que él se convertirá en el presidente tarde o temprano.
He is unquestionably the oldest man in the village.	Él es sin duda el hombre de más edad en la villa.
He's a great coach and is loved by all his players.	Él es un gran entrenador, querido por todos sus jugadores.
He's accustomed to getting up early in the morning.	Él está acostumbrado a levantarse temprano en la mañana.
He's getting along well with all of his classmates.	Él se lleva bien con todos sus compañeros de clase.
He's learning French so he can get a better salary.	Está aprendiendo francés para que así pueda obtener un mejor salario.
He's my best friend. It's as if he were my brother.	Él es mi mejor amigo. Es como si fuera mi hermano.
I am acquainted with the chairman of the committee.	Conozco al presidente del comité.
I am thirsty. I would like to have a cup of coffee.	Tengo sed. Quisiera una taza de café.
I'm beginning to understand why you don't like Tom.	Estoy empezando a entender por qué no te gusta Tom.
I'm calling because my credit card has been stolen.	Estoy llamando porque me robaron mi tarjeta de crédito.
I'm convinced that Tom isn't telling us everything.	Estoy convencida de que Tom no nos está diciendo todo.
I'm going to figure out a way to blame this on Tom.	Voy a descubrir una forma de echarle la culpa de esto a Tom.
I'm looking for something to clean the carpet with.	Estoy buscando algo con que limpiar la alfombra.
I'm looking forward to spending more time with you.	Estoy deseando pasar más tiempo contigo.
I'm looking forward to watching the movie with her.	Espero con ganas a ver la película con ella.
I'm on my way to meet Tom at the station right now.	Ahora voy de camino a conocer a Tom en la estación.
I'm still trying to find out what needs to be done.	Todavía estoy intentando averiguar qué se necesita hacer.
I'm sure you'll find something in the refrigerator.	Estoy segura que vas a encontrar algo en la heladera.
I'm trying to find the person who owns this guitar.	Estoy intentando encontrar al dueño de esta guitarra.
I'm trying to memorize the names of constellations.	Estoy intentando memorizar los nombres de las constelaciones.
I'm wondering what'll happen if I push this button.	Me pregunto qué pasará si pulso este botón.
I'm wondering what'll happen if I push this button.	Me pregunto que sucede si presiono este botón.
I'm wondering what'll happen if I push this button.	Me pregunto que pasa si aprieto este botón.
I'm wondering what'll happen if I push this button.	Me pregunto qué pasará si aprieto este botón.
She is busy right now and she can't speak with you.	En estos momentos ella está muy ocupada, no puede hablar contigo.
She is busy right now and she can't speak with you.	En este momento ella está ocupada y no puede hablar contigo.
She is capable of teaching both English and French.	Ella es capaz de enseñar tanto inglés como francés.
She's been having trouble with back pain for years.	Ella ha tenido problemas de dolor de espalda ya desde hace años.
They are so alike that I can't tell which is which.	Son tan parecidos que no soy capaz de decirte cuál es cuál.
They're making too much noise. I can't concentrate.	Están haciendo demasiado ruido, no puedo concentrarme.
They're making too much noise. I can't concentrate.	Hacen demasiado ruido, no logro concentrarme.
They're making too much noise. I can't concentrate.	Están metiendo demasiado ruido, no me puedo concentrar.
They're making too much noise. I can't concentrate.	Están haciendo mucho ruido. No puedo concentrarme.
We are forty kilometers away from the capital city.	Estamos a cuarenta kilómetros de la capital.
We are never as happy nor as unhappy as we imagine.	Nunca somos tan felices o tan infelices como imaginamos.
